spec	Collection Coden	full_species	genus	species	genus_species	Subfamily	Tribe	County (nr = not recorded)	Locality	Date (nr = not recorded)	YYYY-MM-DD	Year	Month	Day	Collector/Photographer	No. specimens	Lat	Long	D-D Lat	D-D Long	GPS error (m)	Collecting Method	Notes	Specimen or Image ID no. (if applicable)
spec0001	UKIC	Acanthocinus nodosus (Fabricius, 1775)	Acanthocinus	nodosus	Acanthocinus_nodosus	Lamiinae	Acanthocinini	Rockcastle	Rockcastle County	1894-09-26	1894-09-26	1894	9	26		1			37.365178	-84.315941	26166			UKIC_0001449
spec0002	UKIC	Acanthocinus obsoletus (Olivier, 1800)	Acanthocinus	obsoletus	Acanthocinus_obsoletus	Lamiinae	Acanthocinini	Fayette	Lexington	1891-10-26	1891-10-26	1891	10	26	Harrison H Garman	1			38.048	-84.505	15000			UKIC_0002064
spec0003	EGCCRC	Acanthocinus obsoletus (Olivier, 1800)	Acanthocinus	obsoletus	Acanthocinus_obsoletus	Lamiinae	Acanthocinini	Madison	Berea College Forest: Pinnacle Peaks	5/29/10	5/29/10	2010	5	29	Eric G. Chapman	1			37.5543	-84.2408		Blacklight		EGCCRC_001267
spec0004	EGCCRC	Acanthocinus obsoletus (Olivier, 1800)	Acanthocinus	obsoletus	Acanthocinus_obsoletus	Lamiinae	Acanthocinini	Powell	2.75 mi east of Slade	7/24/10	7/24/10	2010	7	24	Shelby Stamper	1			37.7996	-83.6542		Trap baited with a-pinene		EGCCRC_001375
spec0005	EGCCRC	Acmaeops discoideus (Haldeman, 1847)	Acmaeops	discoideus	Acmaeops_discoideus	Lepturinae	Rhagiini	Madison	Berea College Forest: Silver Creek area	5/5/16	5/5/16	2016	5	5	Eric G. Chapman, Paul Baker	1			37.5514	-84.2475		Trap baited with a-pinene		EGCCRC_002014
spec0006	EGCCRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Breathitt	Robinson Forest	5/30/14	5/30/14	2014	5	30	Eric G. Chapman	1			37.4633	-83.1608		Blacklight		EGCCRC_001752
spec0007	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	25-V-1-VI-2017	6/1/17	2017	6	1	S Estes et al.	1			39.03658	-84.37083		Trap baited with Melange		
spec0008	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	3			39.03658	-84.37083		Trap baited with Melange		
spec0009	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	3			39.03658	-84.37083		Trap baited with Melange		
spec0010	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	3			39.03658	-84.37083		Trap baited with Melange		
spec0011	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	30-VI-7-VII-2017	7/7/17	2017	7	7	S Estes et al.	1			39.03658	-84.37083		Trap baited with Melange		
spec0012	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	21-28-VII-2017	7/28/17	2017	7	28	S Estes et al.	2			39.03658	-84.37083		Trap baited with Melange		
spec0013	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	21-28-VII-2017	7/28/17	2017	7	28	S Estes et al.	2			39.03658	-84.37083		Trap baited with Melange		
spec0014	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	5-11-VI-2018	6/11/18	2018	6	11	S Estes et al.	2			39.0340023	-84.372607		Trap baited with Trichoferone		
spec0015	XEUC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	5-11-VI-2018	6/11/18	2018	6	11	S Estes et al.	2			39.0340023	-84.372607		Trap baited with Trichoferone		
spec0016	EGCCRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Fayette	Lexington: 3809 Briar East Road	6/20/17	6/20/17	2017	6	20	Eric G. Chapman	1			38.01432	-84.37807		Malaise trap		EGCCRC_002310
spec0017	EGCCRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Harlan	Kentenia State Forest, Little Shepherd Trail	6/12/15	6/12/15	2015	6	12	Eric G. Chapman, Matthew Savage	1			36.926	-83.2184		Blacklight		EGCCRC_001636
spec0018	EGCCRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Harlan	Kentenia State Forest, Little Shepherd Trail	6/12/15	6/12/15	2015	6	12	Eric G. Chapman, Matthew Savage	1			36.926	-83.2184		Blacklight		EGCCRC_002250
spec0019	iNat	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Hopkins	Madisonville: Forest Acres Dr	6/9/21	6/9/21	2021	6	9	haydenjdiscovers	1			37.3049654	-87.498	9	Photo only		82297993
spec0020	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Horse Cove Rd area	7/28/08	7/28/08	2008	7	28	Eric G. Chapman	1	37°34'30"	84°13'12"	37.575	-84.22				
spec0021	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Pinnacle Peaks	6/21/13	6/21/13	2013	6	21	Eric G. Chapman	1	37.5565	-84.237	37.5565	-84.237		Blacklight		
spec0022	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Horse Cove Rd area	6/24-7/1/2013	7/1/13	2013	7	1	EG Chapman & S Stedenfeld	1	37.569992	-84.217537	37.569992	-84.217537		Malaise trap		
spec0023	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Horse Cove Rd area	6/24-7/1/2013	7/1/13	2013	7	1	EG Chapman & S Stedenfeld	1	37.574566	-84.219704	37.574566	-84.219704		Malaise trap		
spec0024	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Horse Cove Rd area	7/8-7/15/2013	7/15/13	2013	7	15	EG Chapman & S Stedenfeld	1	37.57448	-84.22023	37.57448	-84.22023		Malaise trap		
spec0025	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Cowbell Creek Area	7/22-7/29/2013	7/29/13	2013	7	29	EG Chapman & S Stedenfeld	1	37.53924	-84.22738	37.53924	-84.22738		Malaise trap		
spec0026	ABRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Horse Cove Rd area	7/22-7/29/2013	7/29/13	2013	7	29	EG Chapman & S Stedenfeld	1	37.5707	-84.21724	37.5707	-84.21724		Malaise trap		
spec0027	PDBC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Madison	Berea College Forest: Cowbell Creek area	7/3/20	7/3/20	2020	7	3	Paul D Baker	1	37.5500°N	 84.2310°W	37.55	-84.231		Blacklight/sheet		
spec0028	iNat	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Montgomery	Jeffersonville: KY-1050	5/29/20	5/29/20	2020	5	29	casieopea	1			37.9462404	-83.799247	746	Photo only		47781146
spec0029	CNHM	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	nr	KY	nr	nr	nr	nr	nr		3			1	1				
spec0030	CNHM	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	nr	KY	nr	nr	nr	nr	nr		3			1	1				
spec0031	CNHM	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	nr	KY	nr	nr	nr	nr	nr		3			1	1				
spec0032	CNHM	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	nr	KY	nr	nr	nr	nr	nr		1			1	1				
spec0033	UKIC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Rowan	Morehead	6/14/81	6/14/81	1981	6	14	T Ramsey	1			38.18397	-83.432684	5053	Light		UKIC_0001649
spec0034	UKIC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Rowan	Farmers	7/16/81	7/16/81	1981	7	16	T Ramsey	1			38.142859	-83.546021	301	Light		UKIC_0001561
spec0035	UKIC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Rowan	Hilda	8/18/86	8/18/86	1986	8	18	T Ramsey	1			38.238136	-83.507687	301	In water bucket		UKIC_0001686
spec0036	iNat	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Russell	Jamestown: Dam Rd, 42629	4/29/19	4/29/19	2019	4	29	bizz	1			36.8782005	-85.137556	2104	Photo only		24173794
spec0037	BugGuide	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Warren	Bowling Green	7/17/11	7/17/11	2011	7	17		1			36.99	-86.444	12922	Photo only		603673
spec0038	EGCCRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Wolfe	Red River Gorge, Rock Bridge area	7/16/16	7/16/16	2016	7	16	Eric G. Chapman	1			37.7706	-83.5658		Blacklight		EGCCRC_001264
spec0039	EGCCRC	Aegomorphus modestus  (Gyllenhal in Schoenherr, 1817)	Aegomorphus	modestus	Aegomorphus_modestus	Lamiinae	Acanthoderini	Wolfe	Red River Gorge, Rock Bridge area	7/16/16	7/16/16	2016	7	16	Eric G. Chapman	1			37.7706	-83.5658		Blacklight		EGCCRC_002258
spec0040	UKIC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Anderson	Tyrone	1892-07-14	1892-07-14	1892	7	14	Harrison H Garman	1			38.032853	-84.836338	301			UKIC_0002062
spec0041	iNat	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Calloway	Murray 42071	6/27/21	6/27/21	2021	6	27	gage_barnes	1			36.5521068	-88.23744	26	Photo only		84774052
spec0042	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	9-16-VI-2017	6/16/17	2017	6	16	S Estes et al.	1			39.03658	-84.37083		Trap baited with Melange		
spec0043	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	5			39.03658	-84.37083		Trap baited with Melange		
spec0044	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	5			39.03658	-84.37083		Trap baited with Melange		
spec0045	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	5			39.03658	-84.37083		Trap baited with Melange		
spec0046	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	5			39.03658	-84.37083		Trap baited with Melange		
spec0047	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	15-22-VI-2017	6/22/17	2017	6	22	S Estes et al.	5			39.03658	-84.37083		Trap baited with Melange		
spec0048	XEUC	Aegomorphus quadrigibbus (Say, 1831)	Aegomorphus	quadrigibbus	Aegomorphus_quadrigibbus	Lamiinae	Acanthoderini	Campbell	St. Anne's Woods & Wetlands	30-VI-7-VII-2017	7/7/17	2017	7	7	S Estes et al.	1			39.03658	-84.37083		Trap baited with Melange		
